,ligand_pose,logits
81,020_2594_15106_0,0.0044833976
82,022_458_18541_0,0.0056018815
83,021_1154_4589_0,0.10938125
84,031_76_24064_0,2.8922765e-08
85,020_591_9235_0,0.051611517
86,021_1156_3754_0,0.0092074
87,031_99_11691_0,0.0090909675
88,018_1090_8449_0,0.021276351
89,018_1218_4133_0,0.019993072
90,022_653_578_0,0.35211512
91,032_349_28830_0,0.0098902155
92,023_770_17566_0,0.00732926
93,021_1181_9959_0,0.008826214
94,022_1535_6131_0,0.4518867
95,021_1349_28654_0,0.047975842
96,022_120_5311_0,0.002848938
97,021_1353_15556_0,0.006595427
98,018_373_9570_0,0.01869773
99,020_802_17264_0,0.005212119
100,021_353_6156_0,0.007376251
101,019_540_26659_0,0.0027471534
102,022_1662_6904_0,0.00031043644
103,023_1586_17941_0,0.00546845
104,020_1816_15267_0,0.080345675
105,023_274_18460_0,0.0015655778
106,020_3512_9032_0,0.014200162
107,023_69_11610_0,0.0098105585
108,021_2211_22175_0,0.0063394234
109,023_492_22598_0,0.0011583951
110,019_1397_3948_0,0.017370366
111,020_3916_11187_0,0.0035597205
112,020_2012_18749_0,0.0024698775
113,023_107_3386_0,0.021949107
114,021_1816_12131_0,0.01181817
115,034_41_2869_0,0.32669976
116,018_102_24880_0,0.0059594614
117,036_34_18447_0,0.008075074
118,031_30_16920_0,0.0047391187
119,021_1130_3844_0,0.025983272
120,022_1624_2729_0,0.04988154
121,021_1652_7592_0,0.010382669
122,021_2192_19996_0,0.008146642
123,029_87_16672_0,0.013547823
124,020_4694_2287_0,0.014297108
125,022_1588_2714_0,0.0031861148
126,018_1311_1462_0,0.6313761
127,019_2037_25623_0,0.062376782
128,020_4680_23991_0,0.0038135012
129,020_2499_20075_0,0.02478146
130,032_472_11259_0,0.06809542
131,020_4673_15500_0,0.00031624478
132,002_88_5788_0,0.009416264
133,020_2405_17943_0,0.027898492
134,018_1432_18071_0,0.13802399
135,023_1114_10243_0,0.11008433
136,019_111_14678_0,0.0008415559
137,021_3065_7225_0,0.0060945433
138,019_555_12158_0,0.030716069
139,020_2322_8230_0,0.17884168
140,021_2411_20113_0,0.1167797
141,021_2554_17254_0,0.0020638364
142,031_323_19972_0,0.02675893
143,019_1058_26633_0,0.046769675
144,018_575_3402_0,0.0016624222
145,018_1442_15383_0,0.08345355
146,024_32_5886_0,0.037946817
147,022_1276_660_0,0.087674886
148,009_3_26084_0,0.0315457
149,019_1195_13234_0,0.02180178
150,018_1468_1701_0,0.012031706
151,018_1546_17809_0,0.005792168
152,022_219_170_0,0.79771936
153,019_2109_26749_0,0.003081311
154,019_890_24514_0,0.00685011
155,022_890_26962_0,0.037465528
156,020_2989_8656_0,0.015479692
157,022_276_16763_0,0.0046740295
158,020_3999_17085_0,0.011845266
159,021_2347_15182_0,0.013006258
160,023_718_24990_0,0.013813282
161,020_1716_28932_0,0.000383723
162,021_2758_24118_0,0.012018812
163,018_367_15871_0,0.38437435
164,031_321_18242_0,0.031060254
165,021_3017_28706_0,0.002277506
166,021_1225_1026_0,0.53471696
167,029_122_22444_0,0.02100192
168,032_65_2563_0,0.0038420183
169,026_10_27615_0,0.0028859633
170,020_3328_25730_0,0.08514173
171,020_3384_28199_0,0.0023439752
172,019_90_26745_0,0.017573902
173,032_437_6352_0,0.011214139
174,021_1588_11347_0,0.00061087776
175,023_261_27514_0,0.00069322117
176,031_282_1908_0,0.1983726
177,021_2375_18231_0,0.016831731
178,021_660_1102_0,0.13512504
179,023_28_3300_0,0.0020975142
180,018_205_8387_0,0.08937716
181,024_75_19762_0,0.014508059
182,019_1102_15723_0,0.004089827
183,019_1150_26961_0,0.052345037
184,019_1917_8233_0,0.00741791
185,022_237_22930_0,0.006826599
186,022_567_6506_0,0.0026603548
187,020_4196_17069_0,0.07167324
188,023_1121_26031_0,0.01920443
189,020_1147_28356_0,0.05777474
190,021_888_6013_0,0.05105085
191,035_102_19533_0,0.0020141879
192,032_14_25272_0,0.0033406296
193,022_418_1776_0,0.048351757
194,032_69_8395_0,0.0028179619
195,023_75_506_0,0.6670475
196,022_445_20501_0,0.0025629848
197,031_425_5249_0,0.007318741
198,022_1324_5534_0,0.019225016
199,020_3434_10058_0,0.000721393
200,022_543_5271_0,0.67210305
201,010_15_857_0,0.25022462
202,018_990_28675_0,0.009901532
203,005_8_7263_0,0.0038224696
204,020_1767_26330_0,0.0014866649
205,019_85_16084_0,0.01188991
206,032_42_22687_0,0.050068922
207,021_3111_14532_0,0.007582858
208,019_1512_7474_0,0.002648773
209,020_2227_6986_0,0.0016383876
210,020_193_18852_0,0.087579824
211,023_493_28087_0,0.005746142
212,021_616_7532_0,0.0054973424
213,023_1714_7987_0,0.003456193
214,019_1332_17168_0,0.0046085897
215,022_1507_1843_0,0.31887102
216,031_109_3980_0,0.06444095
217,027_18_6418_0,0.3018507
218,023_1556_13166_0,0.0088149
219,021_92_28782_0,0.056108452
220,018_305_2841_0,0.007593588
221,020_3792_20330_0,0.0039099664
222,018_622_3134_0,0.11121764
223,020_4142_21389_0,0.002185823
224,022_1067_2102_0,0.05809093
225,020_2917_22084_0,0.018464038
226,023_173_13537_0,0.0011728919
227,022_1001_23945_0,0.0063474453
228,020_3308_10293_0,0.0056209294
229,029_89_25255_0,0.0042678434
230,021_1960_9300_0,0.0032686656
231,018_1090_6092_0,0.008626507
232,020_3212_12732_0,0.025586104
233,020_1717_5507_0,0.26825824
234,018_945_13307_0,0.06397526
235,021_1022_23316_0,0.00053141796
236,022_618_26472_0,0.0071877316
237,020_1423_3353_0,0.14290756
238,022_520_8186_0,0.38591725
239,022_155_14443_0,0.015055861
240,020_3454_18930_0,0.004597755
241,021_912_18818_0,0.011206121
242,020_4115_17531_0,0.01077135
243,022_442_28939_0,1.9075196e-05
244,021_2682_28893_0,0.004893596
245,019_992_4789_0,0.014263593
246,020_4171_28717_0,0.008969884
247,020_1827_11755_0,0.0089542065
248,021_3045_10006_0,0.0043030065
249,020_1096_23484_0,0.0021893482
250,019_1525_25612_0,0.030753944
251,026_8_9843_0,0.10273541
252,021_2585_1822_0,0.0026185066
253,023_1309_16076_0,0.0012679138
254,020_733_18713_0,0.004702738
255,019_2044_18290_0,0.0029025106
256,019_2084_7257_0,0.020249762
257,023_177_10092_0,0.011721189
258,018_990_912_0,0.0096533345
259,020_4745_8771_0,0.090731695
260,021_2553_27552_0,0.04293002
261,032_408_28759_0,0.121055886
262,014_10_6771_0,0.07786246
263,021_1323_12254_0,0.002245328
264,019_1575_14715_0,0.0052263746
265,021_579_2089_0,0.14747955
266,028_11_1582_0,0.0027016194
267,025_74_13734_0,0.028989322
268,020_1363_742_0,0.04994386
269,022_798_3529_0,0.07884636
270,017_50_24941_0,0.01390693
271,018_424_3875_0,0.3881014
272,018_1071_21957_0,0.002537675
273,018_337_20743_0,0.006285671
274,018_664_20535_0,0.001578171
275,021_2889_12940_0,0.009137693
276,019_1518_27547_0,0.0040768525
277,019_1952_15747_0,0.09436595
278,019_305_28503_0,0.0027281397
279,023_474_20682_0,0.0019189917
280,019_632_18859_0,0.0021518776
281,019_1260_26953_0,0.004230627
282,020_2944_27956_0,0.002551148
283,022_1358_18712_0,0.0051783244
284,040_13_6443_0,0.08885063
285,021_1098_6061_0,0.07825686
286,018_1261_28287_0,0.002572409
287,038_25_16668_0,0.005323303
288,020_2499_17287_0,0.023597648
289,033_79_11805_0,0.2853387
290,031_103_26516_0,0.010850415
291,017_19_21731_0,0.0003569781
292,021_2608_5344_0,0.06136086
293,018_873_28379_0,0.0017745256
294,020_1905_22638_0,0.009379861
295,019_2109_24204_0,0.010205962
296,023_1609_7024_0,0.00030647323
297,021_442_6586_0,0.003931856
298,020_2926_22408_0,0.00021931676
299,032_719_15570_0,0.001173463
300,019_1888_14309_0,0.018985206
301,021_912_27219_0,0.007650923
302,021_2398_16999_0,0.004317069
303,018_804_5354_0,0.041385397
304,020_2291_21156_0,0.024634162
305,022_211_11285_0,0.00021395773
306,020_3300_20305_0,0.006159536
307,020_2603_20826_0,0.0066904738
308,020_2444_16937_0,0.0139657855
309,020_1751_1587_0,0.03375395
310,020_4611_18055_0,0.004558247
311,019_2138_28533_0,0.004020618
312,020_1035_28335_0,0.0012045744
313,023_1524_25584_0,0.0026993142
314,026_81_10068_0,0.020976722
315,020_2223_20766_0,0.008793699
316,020_3514_24964_0,0.011320243
317,029_99_23495_0,0.026225049
318,018_1408_17050_0,0.03988789
319,022_1655_8628_0,0.021742994
320,019_347_28563_0,0.002271482
321,022_393_7137_0,0.11283802
322,020_3213_27202_0,0.016833263
323,021_257_18602_0,0.05850345
324,019_113_28179_0,0.0021317971
325,004_21_20471_0,0.034530852
326,020_793_1097_0,0.053439368
327,021_322_1396_0,0.3026152
328,018_633_26408_0,0.00017341197
329,023_973_3507_0,0.06532059
330,019_580_23916_0,0.0077110576
331,019_2038_19159_0,0.011046698
332,020_633_13063_0,0.00587349
333,024_15_25486_0,0.01324519
334,019_11_16898_0,0.0013927388
335,020_1292_2424_0,0.42574692
336,021_553_8162_0,0.010958306
337,023_585_17483_0,0.064416
338,020_117_26533_0,0.21187504
339,021_554_15536_0,0.0024587766
340,021_2285_11757_0,0.047444444
341,020_1215_7958_0,0.010022826
342,029_112_25183_0,0.017596722
343,020_1800_10335_0,0.32960817
344,026_34_22820_0,0.0054240916
345,031_80_30_0,0.045191366
346,019_459_6264_0,0.003006672
347,021_479_1576_0,0.041300137
348,022_927_1814_0,0.05128071
349,023_5_870_0,0.12621187
350,020_3169_8080_0,0.106990136
351,020_2530_15973_0,0.018633237
352,020_2000_23329_0,0.05709336
353,020_3833_5558_0,0.0072551696
354,020_2759_23669_0,0.08469658
355,018_400_2442_0,0.0064366637
356,020_2726_24612_0,0.00055132323
357,018_1014_28733_0,0.0015138406
358,021_578_15865_0,0.003418902
359,021_185_24999_0,0.013857483
360,018_4_2467_0,0.0045183254
361,021_87_27013_0,0.0011297889
362,020_590_12084_0,0.0002857276
363,032_99_11278_0,0.00134171
364,031_55_4372_0,0.008461019
365,018_1602_10602_0,0.013570708
366,022_1112_23978_0,0.0042770854
367,018_877_23047_0,0.0025333709
368,026_75_15187_0,0.041642565
369,020_781_16826_0,0.0043164333
370,032_363_2834_0,0.00093804544
371,020_59_14976_0,0.0010994095
372,019_489_18306_0,0.0018445819
373,036_82_23429_0,0.0012195302
374,019_1596_20922_0,0.0014026245
375,032_188_4022_0,0.0028033403
376,018_547_17067_0,0.01243075
377,018_1412_28823_0,0.0057475753
378,020_1352_8085_0,0.28163886
379,020_4275_17562_0,0.006483839
380,021_1142_27960_0,0.0025945283
381,022_1095_3735_0,0.04896917
382,020_1409_8216_0,0.0068336884
383,020_2916_28440_0,0.0061287647
384,019_1794_15735_0,0.012553514
385,018_1096_7577_0,0.022957224
386,008_31_4270_0,0.014656876
387,019_315_26880_0,0.0056882575
388,020_4861_16028_0,0.14938822
389,020_4151_27019_0,0.030779688
390,021_2159_17870_0,0.008654931
391,018_990_1497_0,0.03365216
392,020_3553_7632_0,0.0031054618
393,019_192_17150_0,0.0024590245
394,018_482_10175_0,0.1341376
395,021_2335_18086_0,0.002773391
396,023_681_7450_0,0.0053098723
397,032_561_2924_0,0.08063712
398,020_1584_376_0,0.17601408
399,018_906_4093_0,0.008396502
400,022_148_18264_0,0.00085803354
401,020_3618_22101_0,0.022508845
402,034_10_25126_0,0.0013920676
403,021_1131_25567_0,0.004792913
404,028_13_10987_0,0.004089548
405,022_1660_4021_0,0.00265824
406,019_1312_24239_0,0.0067375116
407,031_102_3927_0,0.1570517
408,020_4519_10110_0,0.0109317945
409,021_3056_20850_0,0.02588119
410,018_1022_4421_0,0.016260818
411,020_2726_28096_0,0.0072499583
412,020_1494_1955_0,0.03634475
413,032_446_24858_0,0.0064489334
414,021_401_8393_0,0.12708464
415,019_181_9466_0,0.0014489114
416,038_16_5108_0,0.0023259039
417,031_53_444_0,0.13026585
418,017_60_27280_0,0.04825741
419,019_625_13867_0,0.0023791152
420,020_892_17987_0,0.0021338572
421,020_4346_8694_0,0.027726645
422,018_353_22922_0,0.8607799
423,022_340_9758_0,0.024053592
424,019_760_25434_0,0.009660184
425,018_1305_1926_0,0.0013390095
426,032_326_4086_0,0.009444985
427,016_21_6837_0,0.008288564
428,018_249_13737_0,0.014160979
429,023_956_17734_0,0.16028114
430,021_1594_9860_0,0.04014616
431,020_3019_8402_0,0.00049961434
432,020_1747_20892_0,0.008017271
433,019_216_7405_0,0.32131502
434,018_729_2658_0,0.17042202
435,016_49_17441_0,0.0016514944
436,021_2833_23522_0,0.010157599
437,021_1606_18027_0,0.0018635188
438,021_291_2123_0,0.11216445
439,020_3495_24029_0,0.009630059
440,020_3799_14444_0,0.013207879
441,023_132_26501_0,0.00990099
442,019_702_18564_0,0.013951092
443,020_110_15872_0,0.00042174212
444,023_373_16325_0,0.024691908
445,019_2218_27345_0,0.0022116208
446,020_571_14184_0,0.0009575193
447,017_13_22206_0,0.0014550241
448,020_1370_25509_0,0.013365785
449,019_1545_13835_0,0.0030489117
450,020_3083_7087_0,0.0030072636
451,018_140_8295_0,0.03966175
452,020_243_10164_0,0.0022675246
453,020_2680_6350_0,0.5163355
454,022_808_8333_0,0.42136258
455,030_67_6245_0,0.013533123
456,020_3930_8235_0,0.0032771777
457,032_124_8760_0,0.00027942314
458,020_2996_20197_0,0.0029127544
459,022_764_23592_0,0.29775923
460,019_500_28848_0,0.0153199155
461,019_1433_16932_0,0.0041298643
462,022_797_26112_0,0.15222327
463,031_443_26803_0,0.0016617546
464,031_25_17915_0,0.0012849958
465,020_2982_20016_0,0.0033112152
466,021_1739_24472_0,0.002097188
467,027_4_21177_0,0.0017838904
468,020_3416_3994_0,0.005131825
469,020_1452_1593_0,0.20351613
470,020_638_21258_0,0.004602904
471,032_537_12887_0,0.010563479
472,025_1_3961_0,0.013829439
473,020_3237_5617_0,0.025952993
474,022_1773_102_0,0.028344069
475,021_2869_14137_0,0.008583908
476,023_1778_12593_0,0.0045019942
477,023_127_18109_0,0.0023119266
478,021_1444_27983_0,0.001243949
479,032_128_2731_0,0.21701159
480,020_560_9605_0,0.007925192
481,020_2770_11434_0,0.041690256
482,022_1784_983_0,0.12693451
483,018_761_27861_0,0.0043727392
484,021_2115_20929_0,0.023265082
485,018_595_23272_0,0.09157337
486,021_1171_23785_0,0.0001214682
487,023_175_18360_0,0.0142700765
488,019_2231_14460_0,0.013239096
489,031_97_1147_0,0.09977058
490,031_474_27485_0,0.013234511
491,020_111_17849_0,0.008344881
492,021_1280_13572_0,0.004814576
493,021_149_3574_0,0.47434312
494,023_884_13841_0,0.055013068
495,020_2472_16018_0,0.036883667
496,031_264_3784_0,0.0044255992
497,022_1504_1836_0,0.23005411
498,020_2994_18813_0,0.053625178
499,032_154_2386_0,0.00394272
500,023_1092_9193_0,0.054368984
501,019_708_19387_0,0.00371226
502,019_1779_22375_0,0.0028328944
503,021_774_28178_0,0.004114118
504,021_2598_22237_0,0.39658567
505,023_349_17502_0,0.029023768
506,020_2518_20888_0,0.0010383076
507,018_151_20310_0,0.0020164838
508,018_756_25837_0,0.012607261
509,031_257_7388_0,0.030886274
510,019_133_21696_0,0.0018917468
511,019_107_14841_0,0.005119662
512,023_867_28650_0,0.0014207006
513,021_972_14222_0,0.0029211754
514,020_4030_6570_0,0.021295326
515,020_2335_14135_0,0.009029107
516,019_1996_8751_0,0.010033907
517,010_25_20508_0,0.010783174
518,022_642_4262_0,0.0021383495
519,020_851_20523_0,0.0032322018
520,018_1174_2227_0,0.031635046
521,031_392_7247_0,0.01574939
522,019_930_15588_0,0.00262538
523,018_1127_17416_0,0.103117816
524,019_1221_2960_0,0.004454649
525,020_4796_16207_0,0.014562037
526,021_903_9961_0,0.09879619
527,022_1139_5278_0,0.00073267333
528,023_1348_13165_0,0.016050188
529,020_4839_18548_0,0.0013246741
530,020_797_17379_0,0.0031377308
531,023_1046_11949_0,0.0040888637
532,021_2209_25828_0,0.0018931014
533,019_2204_27496_0,0.001285658
534,011_14_21360_0,0.0047397264
535,022_131_6348_0,0.040693972
536,020_4383_23372_0,0.001664566
537,028_8_1321_0,0.0012269773
538,023_1540_15990_0,0.008800517
539,017_17_21411_0,0.0018670657
540,019_137_10615_0,0.0060595265
541,020_3773_27744_0,0.04114623
542,020_2173_19891_0,0.013383711
543,022_649_6472_0,0.028255805
544,023_628_10177_0,0.00069741847
545,020_3977_27819_0,0.011515963
546,020_3435_8114_0,0.0025413905
547,018_134_26710_0,0.0046953405
548,018_461_19436_0,0.0008110046
549,020_2936_26059_0,0.0062286495
550,024_61_7816_0,0.015466035
551,003_6_7972_0,0.05261328
552,034_25_24848_0,0.0033913078
553,020_1818_23094_0,0.0016717855
554,022_428_8480_0,0.0041016764
555,020_1044_7560_0,0.015331774
556,018_1193_3049_0,0.2850194
557,019_523_7790_0,0.008206798
558,019_26_20070_0,0.0028395932
559,020_863_27205_0,0.0034117375
560,018_1359_7928_0,0.09286144
561,023_1003_23109_0,0.0033433454
562,021_732_14510_0,0.003999026
563,021_2849_14414_0,0.004681565
564,032_12_5947_0,0.00452849
565,023_281_19504_0,0.022929804
566,018_1534_18076_0,0.006356317
567,022_660_11317_0,0.04914057
568,019_645_16739_0,0.0012426588
569,022_87_3152_0,0.65229887
570,020_3029_10856_0,0.05686678
571,023_117_4305_0,0.0074621723
572,021_1655_2205_0,0.09569495
573,020_2219_22180_0,0.0041043186
574,023_416_22456_0,2.5901547e-05
575,022_1129_2296_0,0.01937212
576,023_177_25604_0,0.004326964
577,035_29_11875_0,0.0060962043
578,019_473_24650_0,0.0010662555
579,032_257_517_0,0.04049682
580,021_715_24544_0,0.027028413
581,021_2791_16505_0,0.044027768
582,021_3006_23226_0,0.0010152189
583,020_1404_22582_0,0.00019856401
584,019_700_28181_0,0.0018186745
585,010_63_4120_0,0.010195706
586,021_2358_16337_0,0.00050363934
587,018_850_18310_0,0.03377595
588,036_28_22667_0,0.009373205
589,019_769_8911_0,0.023371534
590,020_4461_28655_0,0.0023300117
591,034_25_10911_0,0.029939303
592,031_351_2832_0,0.026862836
593,020_1467_9828_0,0.04540691
594,031_389_6205_0,0.37109122
595,020_4256_16336_0,0.0024191744
596,022_1466_8090_0,0.006787701
597,022_840_199_0,0.0182095
598,021_207_6558_0,0.027896345
599,018_691_637_0,0.10352174
600,031_265_17057_0,0.00051643053
601,021_629_18647_0,0.01964411
602,023_1402_8218_0,0.01846944
603,019_1544_23677_0,0.001137909
604,020_4106_10079_0,0.0009256102
605,021_2939_8898_0,0.016937433
606,022_690_4759_0,0.010494765
607,025_78_25807_0,0.0058085625
608,020_1799_14001_0,0.053550515
609,020_2445_9681_0,0.14524345
610,034_50_14302_0,0.0024304136
611,020_4167_26658_0,0.005499788
612,023_614_2307_0,0.5545753
613,020_1774_28488_0,0.00039006976
614,021_2073_17449_0,0.007934661
615,038_66_5729_0,0.0044854963
616,021_2929_8547_0,0.01569086
617,019_1421_10240_0,0.006901714
618,019_819_12735_0,0.010347285
619,032_268_14094_0,0.003278888
620,021_2338_24041_0,0.0022505247
621,020_1618_25640_0,0.056076188
622,031_380_3441_0,0.009930885
623,022_956_6928_0,0.22760147
624,020_1527_11984_0,0.03438187
625,021_1409_21851_0,0.0072057475
626,036_42_25487_0,0.0024110524
627,021_3031_22302_0,0.0015999571
628,021_2858_12499_0,0.030230086
629,019_1364_21944_0,0.0004886507
630,024_40_13593_0,0.015762901
631,022_37_19103_0,1.2533461e-07
632,008_9_28470_0,0.012878755
633,020_4545_19830_0,0.0036078019
634,032_828_17527_0,0.003682555
635,021_3027_15019_0,0.0059487624
636,021_2020_16728_0,0.035427842
637,021_2287_7298_0,0.007928304
638,032_513_28151_0,0.2535414
639,019_1381_25868_0,0.017307855
640,020_2945_24497_0,0.16264346
641,005_42_27672_0,0.0039424393
642,014_57_24749_0,0.0010551979
643,021_364_18718_0,0.027051546
644,021_2968_24648_0,0.0039719604
645,023_1192_21010_0,0.0051855785
646,022_1585_4349_0,0.0013684572
647,021_823_3376_0,0.026411079
648,018_100_3685_0,0.03672561
649,019_785_5084_0,0.01170729
650,033_64_299_0,0.24180359
651,022_360_12652_0,0.01784573
652,006_49_18399_0,0.044277303
653,022_1025_2_0,0.12119502
654,020_3694_25913_0,0.003071349
655,021_983_28209_0,0.0011501838
656,018_1013_24051_0,0.04511253
657,021_395_22488_0,0.0017600098
658,020_913_25667_0,0.0011312831
659,020_1753_5931_0,0.01656393
660,018_1032_7407_0,0.017124817
661,018_408_3150_0,0.13287479
662,019_202_6222_0,0.0046848278
663,020_1726_26914_0,0.004982168
664,021_1127_15459_0,0.001839602
665,023_431_920_0,0.012533019
666,021_1081_8894_0,0.0064865877
667,019_2111_5046_0,0.08484501
668,023_574_27816_0,0.016663829
669,023_637_14261_0,0.0065371646
670,022_1494_25152_0,4.4948607e-05
671,023_1220_13023_0,0.017510049
672,028_30_11454_0,0.0030933833
673,020_902_25466_0,0.029376684
674,022_1274_23483_0,0.052570987
675,031_323_24589_0,0.00070635544
676,019_1168_14488_0,0.04890252
677,021_560_13106_0,0.00036936594
678,019_506_23080_0,0.0006931696
679,021_2829_2995_0,0.057230473
680,040_8_16178_0,0.004695357
681,003_9_24688_0,0.00051131006
682,023_1754_26695_0,0.0008429065
683,032_532_4876_0,0.02676024
684,022_930_27964_0,0.0034351153
685,032_91_13205_0,0.009402454
686,018_902_17137_0,0.0064799814
687,019_1966_21202_0,0.007885095
688,023_1272_8328_0,0.017270077
689,019_1603_7348_0,0.01168304
690,021_1612_6037_0,0.02280185
691,018_751_9593_0,0.005422138
692,031_76_22476_0,1.2429943e-08
693,034_20_7911_0,0.006402935
694,032_744_28165_0,1.0977115e-07
695,019_330_23712_0,0.008630279
696,023_1273_7376_0,0.03189064
697,020_780_23896_0,0.012787889
698,021_1235_2013_0,0.039123207
699,021_2972_28864_0,0.0012719133
700,020_4874_10410_0,0.0023765496
701,018_1089_3174_0,0.013846312
702,019_1949_14879_0,0.0014801668
703,022_1278_17951_0,0.0019617933
704,023_399_16810_0,0.19544674
705,032_471_18719_0,0.006007233
706,020_2243_22318_0,0.08486716
707,019_1980_11078_0,0.043829117
708,011_31_18431_0,0.10657368
709,022_1163_26519_0,0.0024633538
710,022_323_18090_0,0.0014779078
711,019_318_19074_0,0.009958885
712,020_4371_23307_0,0.0016335666
713,020_1171_17961_0,0.009085917
714,021_1312_1759_0,0.033154074
715,018_161_22015_0,0.007778858
716,031_428_5401_0,0.030666387
717,018_512_2555_0,0.071421355
718,029_51_2950_0,0.0013307439
719,021_2685_5942_0,0.0019006841
720,038_13_27653_0,0.009789579
721,020_2349_11746_0,0.020520493
722,022_778_28920_0,0.00102591
723,022_998_17405_0,0.0040581482
724,032_352_19854_0,0.009840392
725,018_1563_28433_0,0.00055807683
726,020_3681_11405_0,0.012188321
727,020_1638_15775_0,0.0043519605
728,020_2623_22612_0,0.02488533
729,020_1547_3590_0,0.20010516
730,022_677_754_0,0.38512117
731,031_194_17245_0,0.00026736606
732,040_42_6480_0,0.006713234
733,032_500_26584_0,0.02020695
734,020_1100_6872_0,0.006978071
735,020_966_12471_0,0.011570386
736,019_650_26885_0,0.0013616527
737,002_75_6487_0,0.05368776
738,032_9_4122_0,0.01193968
739,018_286_22458_0,0.1816054
740,020_30_8007_0,0.0040731463
741,020_632_7322_0,0.10442406
742,036_75_11862_0,0.015112462
743,018_704_4689_0,0.042731192
744,002_47_13374_0,0.0051623797
745,019_1876_13713_0,0.008572912
746,020_4646_24567_0,0.004374845
747,020_4226_15901_0,0.003059774
748,020_2024_11779_0,0.021259533
749,032_628_7509_0,0.0017681952
750,019_1391_4811_0,0.015045173
751,021_2273_13627_0,0.010755692
752,020_963_19771_0,0.0031693338
753,021_2612_17216_0,0.050108492
754,021_2737_17233_0,0.0021288758
755,020_3960_21955_0,0.0062826164
756,022_98_19007_0,0.009889208
757,032_499_27052_0,0.01595716
758,020_4582_22217_0,0.0029714042
759,020_1847_12713_0,0.01381358
760,020_3479_16719_0,0.009244514
761,021_802_5687_0,0.0031245875
762,034_14_3672_0,0.0006861097
763,021_421_24354_0,0.0036640218
764,032_753_11436_0,0.021931946
765,031_117_24630_0,0.017139468
766,018_286_28205_0,0.04982372
767,023_1594_22440_0,0.0019849932
768,018_341_7719_0,0.01861623
769,019_1242_18737_0,0.17498678
770,020_4216_4900_0,0.18510066
771,019_776_7768_0,0.015002427
772,010_58_23603_0,0.0026442835
773,032_691_26593_0,1.753569e-05
774,021_626_17455_0,0.0067619514
775,021_990_27051_0,0.002924652
776,018_1230_5026_0,0.02126774
777,021_2456_10705_0,0.05566924
778,023_1733_25138_0,0.006632486
779,018_90_18334_0,0.009824798
780,022_350_15147_0,0.18620852
781,020_710_13214_0,0.0315185
782,019_185_22845_0,0.0017787275
783,018_1492_12919_0,0.0014270098
